zone_pickup	zone_dropoff	trip_distance
Willets Point	LGA	3.0424999999999995
Williamsbridge/Olinville	JFK	19.34625
Williamsbridge/Olinville	LGA	13.673333333333332
Williamsbridge/Olinville	EWR	17.72
Williamsburg (North Side)	JFK	15.684375
Williamsburg (North Side)	LGA	7.909282051282053
Williamsburg (North Side)	EWR	18.145357142857144
Williamsburg (South Side)	JFK	15.423679417122043
Williamsburg (South Side)	LGA	8.090625
Williamsburg (South Side)	EWR	17.415
Windsor Terrace	JFK	18.925185185185185
Windsor Terrace	LGA	13.47307692307692
Windsor Terrace	EWR	20.963333333333335
Woodhaven	JFK	6.903404255319148
Woodhaven	LGA	8.73
Woodlawn/Wakefield	JFK	25.14
Woodlawn/Wakefield	LGA	15.62857142857143
Woodside	JFK	13.297874396135265
Woodside	LGA	4.059689781021902
Woodside	EWR	21.399583333333336
World Trade Center	JFK	21.991126701861702
World Trade Center	LGA	14.171533107263972
World Trade Center	EWR	15.350586309523784
Yorkville East	JFK	18.625553589204795
Yorkville East	LGA	8.161799235181654
Yorkville East	EWR	22.382081686429505
Yorkville West	JFK	18.64595837122358
Yorkville West	LGA	8.211058641266924
Yorkville West	EWR	22.15311886586696
